Squad,Poss,90s,Gls,Ast,G_plus_A,G_minus_PK,xG,xAG,xG_plus_xAG,npxG_plus_xAG,PrgC,PrgP,CrdY,CrdR,Season,League,League_ID
Atalanta,55.3,38,2.0,1.42,3.42,1.87,1.71,1.23,2.94,2.8,897,1824,67,1,2024-25,Serie A,4
Bologna,58.1,38,1.47,1.13,2.61,1.32,1.3,0.93,2.22,2.08,639,1468,61,4,2024-25,Serie A,4
Cagliari,44.9,38,1.0,0.82,1.82,0.92,1.12,0.84,1.97,1.9,506,1150,68,3,2024-25,Serie A,4
Como,54.6,38,1.16,1.03,2.18,1.16,1.2,0.96,2.16,2.12,658,1377,87,7,2024-25,Serie A,4
Empoli,41.7,38,0.82,0.55,1.37,0.76,0.86,0.6,1.46,1.4,428,1013,68,5,2024-25,Serie A,4
Fiorentina,51.0,38,1.53,1.03,2.55,1.37,1.29,0.92,2.21,2.04,620,1240,82,3,2024-25,Serie A,4
Genoa,45.6,38,0.92,0.71,1.63,0.92,0.98,0.71,1.68,1.64,470,980,71,1,2024-25,Serie A,4
Hellas Verona,38.7,38,0.82,0.53,1.34,0.76,0.89,0.65,1.54,1.5,449,1011,98,9,2024-25,Serie A,4
Inter,59.4,38,2.0,1.5,3.5,1.79,1.76,1.27,3.03,2.85,694,1730,56,1,2024-25,Serie A,4
Juventus,57.2,38,1.47,1.05,2.53,1.32,1.34,0.94,2.29,2.16,810,1561,67,3,2024-25,Serie A,4
Lazio,55.1,38,1.58,1.13,2.71,1.42,1.51,1.01,2.52,2.38,774,1588,93,7,2024-25,Serie A,4
Lecce,43.8,38,0.71,0.55,1.26,0.63,0.91,0.65,1.56,1.48,519,1071,61,7,2024-25,Serie A,4
Milan,53.9,38,1.55,1.13,2.68,1.45,1.68,1.23,2.91,2.75,915,1589,70,6,2024-25,Serie A,4
Monza,48.5,38,0.71,0.47,1.18,0.63,0.79,0.55,1.34,1.28,533,1096,90,3,2024-25,Serie A,4
Napoli,54.6,38,1.47,1.11,2.58,1.37,1.39,1.03,2.42,2.32,739,1546,47,0,2024-25,Serie A,4
Parma,44.2,38,1.13,0.82,1.95,0.97,1.13,0.77,1.9,1.76,578,1059,78,6,2024-25,Serie A,4
Roma,53.9,38,1.45,0.92,2.37,1.24,1.39,0.92,2.32,2.15,691,1501,66,1,2024-25,Serie A,4
Torino,47.5,38,0.95,0.55,1.5,0.89,0.91,0.59,1.5,1.42,529,1113,80,3,2024-25,Serie A,4
Udinese,47.2,38,1.08,0.74,1.82,1.03,1.01,0.71,1.72,1.64,566,1160,88,5,2024-25,Serie A,4
Venezia,45.1,38,0.82,0.42,1.24,0.71,0.94,0.58,1.53,1.43,507,1066,75,2,2024-25,Serie A,4
Atalanta,51.0,38,1.89,1.5,3.39,1.76,1.52,1.16,2.68,2.57,715,1754,76,1,2023-24,Serie A,4
Bologna,58.1,38,1.37,0.84,2.21,1.26,1.26,0.84,2.11,2.0,660,1453,85,2,2023-24,Serie A,4
Cagliari,42.1,38,1.08,0.79,1.87,0.97,1.13,0.77,1.9,1.78,529,1109,77,4,2023-24,Serie A,4
Empoli,44.0,38,0.68,0.5,1.18,0.55,0.95,0.68,1.63,1.53,524,1056,88,1,2023-24,Serie A,4
Fiorentina,57.4,38,1.58,1.08,2.66,1.47,1.36,0.93,2.29,2.12,621,1656,80,0,2023-24,Serie A,4
Frosinone,49.7,38,1.16,0.76,1.92,0.95,1.2,0.79,2.0,1.79,563,1326,68,2,2023-24,Serie A,4
Genoa,44.1,38,1.13,0.71,1.84,1.0,0.94,0.6,1.54,1.42,468,1079,79,3,2023-24,Serie A,4
Hellas Verona,44.4,38,1.0,0.76,1.76,0.92,1.0,0.72,1.72,1.57,539,1122,88,6,2023-24,Serie A,4
Inter,57.1,38,2.29,1.58,3.87,1.95,2.06,1.46,3.52,3.24,720,1620,46,1,2023-24,Serie A,4
Juventus,48.5,38,1.37,0.97,2.34,1.29,1.44,1.04,2.48,2.37,709,1473,87,2,2023-24,Serie A,4
Lazio,53.3,38,1.21,0.79,2.0,1.11,1.22,0.87,2.09,2.01,716,1528,101,5,2023-24,Serie A,4
Lecce,44.9,38,0.79,0.61,1.39,0.71,1.14,0.81,1.94,1.84,638,1183,89,5,2023-24,Serie A,4
Milan,56.9,38,2.0,1.47,3.47,1.84,1.74,1.21,2.95,2.79,899,1569,82,8,2023-24,Serie A,4
Monza,53.5,38,1.0,0.76,1.76,0.89,1.04,0.73,1.77,1.68,723,1248,88,5,2023-24,Serie A,4
Napoli,60.9,38,1.42,0.95,2.37,1.26,1.62,1.13,2.74,2.53,802,1758,77,5,2023-24,Serie A,4
Roma,54.9,38,1.68,1.16,2.84,1.39,1.35,0.91,2.26,2.02,682,1469,95,3,2023-24,Serie A,4
Salernitana,44.5,38,0.84,0.66,1.5,0.79,0.8,0.59,1.39,1.34,499,1119,91,3,2023-24,Serie A,4
Sassuolo,43.8,38,1.11,0.74,1.84,0.92,1.05,0.68,1.73,1.57,636,1301,71,4,2023-24,Serie A,4
Torino,51.6,38,0.92,0.76,1.68,0.87,0.99,0.79,1.78,1.74,710,1333,75,2,2023-24,Serie A,4
Udinese,39.3,38,0.95,0.61,1.55,0.87,1.03,0.74,1.77,1.71,602,1022,94,5,2023-24,Serie A,4
Atalanta,49.9,38,1.68,1.11,2.79,1.53,1.52,1.12,2.64,2.47,687,1637,83,3,2022-23,Serie A,4
Bologna,54.7,38,1.37,1.08,2.45,1.21,1.15,0.83,1.98,1.87,564,1366,84,3,2022-23,Serie A,4
Cremonese,42.1,38,0.92,0.47,1.39,0.79,1.02,0.64,1.66,1.51,521,1107,81,3,2022-23,Serie A,4
